genes
NSG2
RUNX1T1
STMN2
TUBB2A
RTN1
TUBB2B
MALAT1
TUBA1A
CXCR4
PLS3
MAP1B
MEG3
INA
NREP
SYT1
GPM6A
DCX
PDE4DIP
FEZ1
MAPT
BTG1
RPL34
CELF4
CALM2
MLLT11
CRMP1
NSG1
TMSB10
CXADR
TERF2IP
DLX6-AS1
SEZ6L2
MIAT
PCSK1N
AKAP9
PDZRN4
NXPH1
ERBB4
SOX11
NCAM1
TSC22D1
TTC3
SCD5
RAB3A
TCF4
RBFOX2
AC004158.3
MEF2C
HIST2H2BE
EIF4G2
VAMP2
EIF4A2
H3F3B
CSRNP3
TSPAN13
HN1
ANKRD12
SH3BP5
ARL6IP1
GAD1
GRIA4
ELAVL2
FHL1
APLP1
TMEM66
CPE
CCNI
TAGLN3
CD200
ARID4A
GNG2
PAFAH1B3
XIST
KLF6
MAPK10
MARCKSL1
CADPS
SOX4
UCHL1
MYT1L
RBP1
LHX6
BRINP2
DUSP1
NDN
NMNAT2
ZNF608
ATAT1
SEPT7
NPAS1
NAP1L3
DUSP4
WSB1
AKR1C1
GDAP1L1
TNRC6B
MYCBP2
NRXN1
CADM3
CNTNAP2
JPH4
CHD9
MAFB
ZNF536
SEC62
ELMO1
STMN1
LBH
KIDINS220
ACTL6B
SST
HIP1R
GDI1
LY6H
LINC00632
TUBB3.1
KLC1
PODXL2
TUBB
LSAMP
BCL11A
RAI2
FAM65B
MAF
OCIAD2
ROBO1
ANK3
AKR1C2
IRF2BPL
SCG5
RAB2A
C12orf68
FOS
GNG3
GRIA2
TM2D3
GRIA1
FNBP1L
RERE
EIF1
TMEM108
ZCCHC12
LDOC1
MAGI2
GPC2
AKAP7
PGM2L1
THRA
RUFY2
HIST1H2AC
RP11-277L2.5
RGS17
DNER
SCG3
DNAJB6
LINC00461
KIF3A
KLF7
PDE1A
PLK2
FTH1
RUFY3
IFI44
PCLO
BAALC
TXN
OLFM2
CDC42EP3
TUBB4A
FAM57B
KCNQ1OT1
KIFAP3
BASP1
MEX3B
CDK5R1
ODF2L
ATP1A3
VSTM2A
PAM
AAK1
CCSER1
