genes
CXCR4
TUBB2A
STMN2
DLX6-AS1
TCF4
BTG1
RTN1
RPL34
TUBB2B
MALAT1
TUBA1A
NFIB
PCDH9
PLS3
DCX
GPM6A
CELF4
UCHL1
MLLT11
PDE4DIP
NR2F2
CRMP1
NSG2
CALB2
MAP1B
SCGN
NR2F1
XIST
SYT1
MAPT
MEG3
AP1S2
PCSK1N
ANKS1B
WSB1
PDZRN3
EIF4A2
FEZ1
LINC00461
PLK2
SH3BP5
MIAT
ERBB4
KLHL35
CCNI
PRKCA
NPAS1
TXN
TUBB
INA
ZBTB16
SOX11
KLF7
MEF2C
TMSB10
NSG1
NRXN1
GNG2
VAMP2
TERF2IP
TSC22D1
ANKRD12
EPHA5
CCDC88A
NCAM1
APLP1
CADM3
H3F3B
AKAP9
TMEM66
TSPAN13
THRB
TMEM161B-AS1
FAM65B
DDAH2
RPL37A
SEZ6L2
FXYD6
NRIP3
RAB3A
EIF1
RPL10
TMTC4
RPS13
TTC3
LINC00632
CSAD
RPL11
TAGLN3
SCG3
ELMO1
ETFB
CXADR
RUFY2
PLP1
MYT1L
CD200
THRA
RPL9
VSTM2A
CDH2
RBFOX2
RPS4X
CHL1
SYNPR
PPP1R15A
RP11-277L2.5
NAP1L3
KLC1
MYCBP2
ARID4A
EIF4G2
ACTL6B
GLRA2
DUSP1
PTPRR
ARL6IP1
CTD-2555A7.2
RPS24
PNRC1
RPL7
PODXL2
JPH4
ZCCHC12
ZNF608
ZC2HC1A
GDI1
ZNF536
GPD1
DRAXIN
RTN4
RPL30
KIFAP3
TM2D3
CPE
HIP1R
PAFAH1B3
ATAT1
SEC62
OPTN
CHD9
CAMK4
SCG5
NR2F2-AS1
FNBP1L
NREP
APOL4
ATP1B1
GDAP1L1
HIST2H2BE
CIRBP
FAM110B
GNAO1
TUBB3.1
LY6H
CSRNP3
SERINC1
KLF6
PAK7
ANK3
POU2F1
CPLX2
LBH
NETO2
CSDC2
LRRN3
BASP1
COMMD6
BRINP1
RP11-353N4.1
MARCH6
ROBO1
TTLL7
LRRC1
PROX1
KIDINS220
AKR1C2
VGLL4
SPOCK1
RUNX1T1
DNER
ARRDC4
DSTN
AKAP6
TNR
MTSS1
LDOC1
HCFC1R1
GAS2L3
MTUS1
ARRDC3
PNOC
CCDC112
DUSP4
RPL38
BEX5
CLASP1
CTNNA2
DUSP26
CDK5R1
RNF24
CDC42EP3
CITED2
CELF2
SNAP25
SOX4
DNAJB6
IFI44
EXOC7
CHGB
TXNIP
NPDC1
BRINP2
PDE2A
TMEFF2
SGIP1
MEX3B
CSMD3
CNN2
ZNF281
LMBR1L
FOXO3
RPL31
MAPK10
FGF12
MAPRE3
RUSC1
KIF3A
NKAIN2
KIF3C
JUP
ZNF428
MAGED2
PRMT2
KCNJ3
KMT2E
CCDC109B
STX7
PHACTR3
TRIM36
DLX5
STMN4
NRP2
AES
AKR1C1
ATP1A3
CYTH1
STXBP1
MAP4
SLAIN1
PAX6
MGST3
ASGR1
GNG3
NMNAT2
CCSER1
NOS1AP
AC021860.1
KALRN
NFIX
CADPS
VASH2
ASPHD1
RSF1
RAB2A
REEP1
TSC22D3
RAI2
FAIM2
FAM57B
SPSB3
FAM13A
CROCC
CCNG2
NPB
RUFY3
AKAP7
EYA1
SSR2
PFDN5
ZNF711
L1CAM
HPCAL1
PGM2L1
ZNF704
BEX1
ATCAY
BMPER
PCDH8
VPS28
OMG
RNF180
GPC2
RGS17
RGMB
FOS
SMPD3
GTF2IRD2B
ANKRD36C
MLLT3
TNRC6B
SERP2
DACT1
NDRG1
B3GALT2
PIK3R1
ANKRD36
MMP2
GPR82
TCEAL4
CEP170
ASXL3
TUBB4A
SSBP2
DLGAP1
CD27-AS1
SCD5
NDFIP1
COL9A3
TSPAN7
C14orf37
CHD5
PRRT2
POLR2J3
GNAQ
BAALC
TSPO
SRGAP1
BACH2
SLCO3A1
SEMA3A
SVOP
HIST1H2AC
RERE
YWHAG
PPP2R3A
KIF5C
LRRTM2
DPYSL3
ZNF91
DYNC1I1
LRRC26
SLC6A1
LAMB3
NEIL1
ARMCX1
EPC1
ATP8A1
RP1-3J17.3
SRGAP3
TNRC6C
LRRC7
C3orf14
SLC39A6
FAM49A
ZNF148
GAD1
ATL1
SNAP91
SERPING1
ZC3H6
WDR47
ERO1LB
GRM3
MAFB
TBCC
GLRX
HIVEP3
SPOCK3
RND1
RGN
CBLB
TMEM108
DSCAML1
BRK1
PISD
ELAVL3
CELF5
SFXN3
CACNG2
NPAS4
ACVR1
TMEM59L
LRRC16A
ODF2L
AAK1
TENC1
PCLO
IFI16
PLD3
DPP6
EIF5
PJA2
IFIT3
CACNA1B
SUN2
TMEM150C
RP11-351J23.1
CLSTN1
CHD7
RP11-490M8.1
NNMT
EFNB2
PTPRD
BMP3
SEPT3
OCIAD2
ERC2
DLG2
MKRN1
TMEM14A
MTFR1L
PTPRT
HECW1
FRY
GRIA1
CES4A
SPINT2
WRB
ARHGEF2
TSPYL1
NAV3
TANC2
ATRX
SORCS3
WDR74
HSPA8
INHBA-AS1
LAMB1
RDH11
SPTAN1
CREG1
EEA1
RUNDC3B
IQSEC3
TMEM11
POU2F2
PPP3CA
C20orf194
ARG2
RUSC2
ETV5
LUZP2
RPS26
PFKM
EIF2AK2
ARID1B
VPS4B
BIRC2
ARHGAP44
BAG5
MDGA1
SPON2
DPF3
G0S2
SDK2
PDP1
C12orf68
APPL1
SPATS2
B4GALNT1
CACNB4
ID2
TULP3
HIST1H4E
FAU
BEX2
LRRC55
AL590452.1
BCS1L
SIPA1L2
SEPT7
ASNSD1
SCN3B
EIF3L
FRMD4A
FAM134A
HDAC3
RXRA
RP11-127B20.2
SNX10
PAG1
HBS1L
PPP1R12B
HRH2
HN1
DNM3
DLST
ANKRD44
RPS19BP1
STAG1
KIAA1211
GARS
C14orf132
IRF2BPL
GRIN2B
SAMD14
KBTBD6
TMEM132A
HMBOX1
SV2A
ADAMTS10
C12orf10
SYT17
DDB1
HEXDC
AFF3
TRMT10C
CLCN4
TTC1
RFPL1S
LYRM9
RSBN1
SLC25A36
DUSP18
LASP1
GFOD1
CMPK2
KLHL7
FRMD3
GFOD2
SAFB2
PTGFR
FAM214A
UNC79
C1orf21
RNF216
HERPUD1
TMEM35
UNC5B
VPS41
CDKN2D
LPHN3
AGAP2
COX7A1
MPHOSPH8
MAEA
NPAS3
SCAMP1
SPTBN1
APC2
BCAP29
IDH3G
PNMA1
TPBG
SMYD4
CDK17
RNMT
F2R
ADPRHL2
GMDS
CMAS
GNPTAB
WDR82
SATB1
ZNF583
PTCH1
MED22
ABT1
AMZ2
TRIM33
CUL1
TAOK3
COTL1
IP6K2
STT3A
RP11-58B17.2
C2orf80
LRTM1
DCLRE1C
SLC32A1
FBXO44
ASCC1
SMIM18
ERV3-1
KIF5A
FAM103A1
PHLDB1
ACVR1C
SIRT6
GTF2IRD2
LONRF2
APC
PPFIBP1
PDCL
RAPGEF3
NUCB2
PVRL1
AC009501.4
TAF1D
MAGI2
HK1
RP11-523L20.1
PLEKHO1
ACAP3
NT5C3A
TSSC1
ARL8B
CRIM1
YPEL4
CCDC127
CLK4
FAM76B
MECP2
CDC73
ITFG1
APLP2
GOLGA7B
CNR1
ACVR1B
PDZRN4
MAGEF1
KLHL28
YIPF4
FAM131B
SNAP47
IGSF8
MAP7D1
ARMC8
ADPGK
ACD
OLFM1
CLPX
KCTD5
FAM98B
PHKB
CXXC1
WFDC2
RTCA
CTR9
MEF2C-AS1
SF3A1
RP11-617D20.1
DCAF7
TMED4
SLC25A24
SHANK2
GUCD1
RP11-284N8.3
ZFR
SCAMP3
NF1
RP11-15A1.3
PTPRN
ACSL3
RXRB
GGPS1
ARF3
PLCB1
RNF115
SLC4A1AP
PRKAR2A
TMEM205
WDR86
RRP15
ADCY1
USE1
CRIP2
GRID2
PSMG4
DOCK4
HEXIM2
SRPK2
SYT4
DPP10
FABP7
WDR6
CEBPZ-AS1
SQSTM1
UBA3
ZNF326
CPEB3
DDX55
ZNF766
ZBTB14
CNOT8
NRXN2
NAP1L2
SLC37A1
PSMD12
EIF2S3
DUOX1
FAM155A
RDH14
USP34
TMEM63B
DHX29
SCFD1
SRCIN1
POLR3H
BLOC1S2
MCF2L
MPC1
CCDC23
EIF1B
TMEM57
LDLRAD4
STRBP
SYT14
FNBP4
ALG13
EPS15L1
SOBP
LINC01116
ZNF552
KPNA6
DRAM2
USP11
SFXN1
GPR85
TRIM46
BPGM
AZU1
MPZL1
REEP2
DEDD2
SMEK1
TRMT13
ELOVL4
AC090186.1
NYAP1
PLEKHA3
CLIP1
GOLGA6L4
TENM2
EIF2B4
PIGH
PCDH7
UBL4A
TUBGCP2
MAPKAPK5
UTP3
ST6GAL1
B3GNT1
RIN2
RBMS3
JRKL
ARFRP1
PPP1R11
MAGI3
NPEPPS
ZNF274
NUP153
CTDSP2
PIK3IP1
RP1-39G22.7
GCNT2
JUN
PAM
ATXN2L
DKFZP761J1410
INSR
EFNB3
ATPIF1
PLD5
DUOX2
RNF40
SEPT4
KRAS
GPC1
CASC4
CMPK1
MRPL1
STX12
B3GNT5
SEC61A1
SEMA6C
MAD1L1
CINP
PIK3CA
SYT5
PSAP
CHCHD7
PRKCZ
FAM104A
CTNNB1
KIAA1328
TSIX
FAM45A
RNF25
SUGP2
HDAC7
AGGF1
NOTCH4
OSER1
KLHDC8A
SNRNP200
GPR137
MTMR9
SNORA76
SP4
BTG2
ATF2
CADM2
APPBP2
MORC2-AS1
JOSD1
PHF6
TSPAN31
TRIM37
ZCCHC8
ARL4A
CRNKL1
SCRT2
ZC3H8
RHOB
SMPDL3A
FAM19A2
MGAT1
RNF112
KDM3A
EDIL3
KIAA2026
CAPN7
KCTD12
RALA
LRRTM4
ECI2
HMGXB4
CACNA1E
DROSHA
ARHGEF1
WBP1L
WDR45
ARMC10
ISY1
LEO1
TINF2
BAP1
SHISA5
APP
BRD2
PTCHD2
R3HDM4
GRIA2
GNAL
ANGEL2
KLHL9
PPFIA1
ARFGAP3
ABCF3
CAMK2N1
IFRD1
JARID2
KB-1980E6.3
ALDH2
IARS2
TMEM213
LPPR1
PLXNB2
GPR19
FAM13C
PTDSS1
JAKMIP1
MOB3B
SMARCA1
RP11-166O4.6
SHARPIN
CRKL
TRIM44
TTC9C
FRA10AC1
GPD1L
SAP30BP
AMER3
PDE1A
KLF13
DUSP6
SCN3A
LRRC3
SH3RF1
PGAP1
ABHD17B
GTF2IRD1
FGD4
STX6
FRY-AS1
ALDH1L2
KLHL20
IREB2
MYO9A
RP11-351J23.2
GPR27
SPG11
