genes
GAD2
DLX2
ELAVL4
MLLT11
SOX4
DLX6-AS1
PFN2
DCX
TMSB4X
DLX5
RND3
TMEM123
FTL
HNRNPA1
RPS11
SOX11
ARL4D
DLL3
MARCKSL1
STMN2
RPS27
TMSB10
SLC25A6
DYNC1I2
COX7C
RBP1
GADD45G
SH3BGRL3
TUBB3.1
H3F3B
SUB1
RPL30
RPL24
ST18
DLX1
BTF3
SRRM4
ACTG1
RPL10
H3F3A
OLA1
RPL35A
RPL21
CRMP1
DPYSL3
DDX5
PLS3
SP9
RPL39
RPL11
RPL34
CCND2
ACTB
TAGLN3
RPL37A
RPL26
RPL32
SOX6
RPL22
GAD1
INA
MIAT
ARX
EIF4A1
UBA52
RPS29
ATP6V1G1
ELAVL3
LHX6
RPL7
MFNG
DLL1
RPL38
RPL15
RPS28
HDAC2
COL1A2
RASD1
NKX2-1
CDCA7
RPL18A
H1F0
MYO1B
SUMO2
NACA
PAK3
RPL19
NREP
CFL1
RPS27A
EIF3H
HNRNPK
RBM3
RPS13
RPL37
CASC15
TUBA1A
RPL6
RPS15A
GSX1
NNAT
DBN1
TIAM1
UBC
GPC2
PCBP4
HELT
RPS25
HES6
DST
SCG3
NPPA
APEX1
CCNI
RPAIN
RPLP2
ATP5O
RPS7
SRP14
RPS14
DLX6
RBFOX2
C1orf61
BCL11A
BEST3
DPYSL4
RPS19
MAP2
CITED2
GNB2L1
CORO1C
COMMD6
STMN1
ABRACL
MYT1
SLC32A1
FBXW7
ATP5E
FGD3
FSCN1
RPS3A
CELF3
TAC3
INSM1
EEF1A1
PHF14
SNRPE
EIF1
KLF7
RPL5
COX7A2
TIAM2
NDUFB8.1
RPS16
DCLK2
FNDC5
RAB3IP
LINC00599
BAZ2B
ARHGEF2
UQCRB
RPL13A
RPS21
RPL4
GDI1
RPL27A
SACS
RPL23
RPL23A
NSG1
FTH1
EIF3E
MIR7-3HG
MYL6
BCL11B
TCF4
ELAVL2
ATP5L
COX7A2L
FOXN3
TPT1
MSI2
ZNF428
RPS23
RPS20
GSTA4
RARA
TERF2IP
SMOC1
TTC3
RGS16
NEDD4L
NDUFS5
PHF21B
ZEB2
PDZRN3
TTC9B
RPL28
RIC3
ASS1
MAP1A
SEZ6
RBPJ
AC018470.4
SEC61G
MDK
SKP1
ZNF385A
EIF4G2
RPL31
RUFY3
TRAF4
GDAP1L1
RPS9
TMSB15A
DLGAP4
RPL7A
MEG3
PLXNA2
PLXNA4
KDM6B
CHD7
MCM5
RPL29
HSP90AB1
TP53I3
RPL17
LZTS1
APOL4
UBXN1
SMDT1
AKR1C1
TMEM2
CCDC88A
LIMD2
VDAC2
KHDRBS1
ISL1
BASP1
AES
MAP1B
RPS10
PFDN4
SHB
SMARCA4
ATP5J
ANGPT2
RPL36A
GSE1
KLHL13
C14orf166
RPL14
SLCO5A1
C19orf43
TMA7
HNRNPC
TUBB2B
RPS4X
GLCCI1
RP11-134P9.3
PIP5K1B
DYNC1I1
PFDN2
RAB3A
MRPL42
GTF2I
SEC61B
CTD-2089N3.2
TIMM8B
CSDE1
CAMK2N1
BRINP1
SYF2
GALNT14
COX6B1
UNG
OCIAD2
PPP1R14B
ATP6V1F
PROX1
CTD-2314G24.2
ATAT1
KDM7A
RTN4
PPDPF
Z83851.1
AP001891.1
CCT8
RTN1
C18orf32
PLK3
PAIP2
SHD
STARD4-AS1
PDE4DIP
PSMB7
ERV3-1
C14orf64
DRAXIN
ATP5G2
AC117395.1
HDAC5
SERINC5
GABARAP
USMG5
FXYD6
CDK6
LHX8
CERS6
RP11-118F19.1
CDK2AP1
HID1
LANCL2
PRDX2
CARHSP1
YWHAG
OAZ2
AKNA
TRIM13
COX6C
EFS
PDZRN4
AKNAD1
RUNX1T1
TSG101
MYL12B
MRPS21
SCGN
RERE
PEBP1
BTF3L4
FNBP1L
EIF3F
DTD1
AL009178.1
VIP
ATCAY
PRKX
KIAA1598
SHFM1
GAP43
DGKB
AC073283.4
KCND3
CHMP1B
PHACTR3
SH3BP4
IGFBPL1
PFDN5
COX4I1
MIEN1
GLTSCR2
MGARP
EDF1
FAM96B
MAPK8
ADAMTS5
BRK1
SNTG1
CBR4
FUNDC2
RUNDC3A
RPS26
MYCL
TLE1
SRP9
ALOX5AP
CORO2B
NRXN3
MPPED2
RP3-326L13.3
IGDCC3
DYNLT1
C1orf216
ARRDC4
NKAIN4
C11orf96
RP6-109B7.3
CCDC23
SSR4
RP11-445F12.1
DLL4
UBE2I
RP13-188A5.1
ZNF738
BAG6
IGSF10
XIST
C9orf16
HAT1
NDUFA3
BTG1
HNRNPM
ZSWIM5
EFNA5
KLHDC8A
HOMER3
NYAP2
CBFA2T2
ZNF195
FAM65B
CORO7
AKAP9
RBM18
SMARCA5
GPC4
PPAPDC1B
KLC1
NDUFA8
SFTA3
CYTH2
KALRN
CD27-AS1
SYT1
EIF3L
KITLG
NONO
TP53I11
E2F1
FAM57B
PBX1
TOMM7
KDM5B
MOB3B
AC084018.1
TCF12
BZW2
SNRPB2
KIF21B
GINS2
SMARCE1
TCP1
GNG2
TP53INP1
RP11-314B1.2
CDKN1C
LINC01158
CCER2
MYO3A
ZFAS1
HTATSF1
LGALS1
KAT7
TMEM169
CYB5D2
ARPC3
VARS
KMT2E
YWHAZ
RCN2
GMIP
MICAL1
TOX3
CCNE2
CRYBG3.1
ACTR1A
H2AFY2
ACIN1
DDAH2
DDR1
AFAP1
TMX4
ENOX1
EIF3K
UQCRC2
BTG2
CRY1
