genes
AC004158.3
NSG2
RUNX1T1
MEIS2
TUBB2A
RTN1
MAP1B
TUBB2B
MALAT1
TUBA1A
ETFB
PCSK1N
STMN2
APLP1
CXADR
STMN1
BASP1
MAPT
RBFOX1
ZNF503
NREP
VAMP2
MEG3
NSG1
VCAN
SH3BP5
RAB3A
CALM2
AKAP9
ZFHX3
TERF2IP
TMEM66
BCL11B
SERTAD4
CNTNAP2
GPC2
TSPAN13
TTC3
FOXP1
ATAT1
RBFOX2
SYT1
CELF4
INA
EIF4A2
TMSB10
TLE4
CRMP1
EBF1
ANKRD12
ZFHX4
CD200
STMN4
HN1
SCG5
ID4
BCL11A
ARID4A
PODXL2
CELF2
GRIA2
KIDINS220
PAFAH1B3
SYNPR
LY6H
JPH4
TAC1
SIX3
MYT1L
CDK5R1
TSHZ2
SYT5
AC140912.1
EIF4G2
UCHL1
SEZ6L2
OCIAD2
GNG2
GNG3
TUBB
GPM6A
TUBB3.1
ACTL6B
FEZ1
ARPP21
MIAT
MLLT11
CPE
SOX4
NRXN1
ELMO1
PHLDA1
ARL6IP1
KIF3A
ZNF428
NDN
KIFAP3
SPINT2
ISL1
ENO2
NAP1L3
C4orf48
DDAH2
GAP43
ROBO1
FOXP2
RPRM
HIST2H2BE
SORBS2
PRRT2
THRA
CSAD
ATP1A3
DNER
PLD3
LHFP
SLC8A1
DNAJB6
C12orf68
MAPRE3
LMO3
WSB1
GLRA2
ARL6IP5
PCLO
RXRG
CEP170
TRIB2
SLITRK6
SERINC1
CELF5
IGFBP5
ANK3
FNBP1L
DLX6-AS1
CSRNP3
BEX2
KLC1
TCEAL2
PBX1
GDI1
ZC2HC1A
SSBP2
NPY1R
SCAMP1
BEX1
GNAO1
ENC1
NOVA1
ISLR2
DUSP4
ZCCHC12
MEF2C
VASH2
MARCKSL1
FAM57B
LINC01122
PGM2L1
CAMK4
CADM3
H3F3B
TNRC6B
SPATS2L
PBX3
MTUS1
SCD5
GUCY1A3
BLCAP
DKFZP761J1410
NPDC1
CXCL12
CCSER1
PAK7
LDOC1
NTRK3
PCDH7
QPCT
PDE5A
MLLT3
TM2D3
PALMD
LRRC4C
ATRX
BZW2
PLP1
SRP14
SGIP1
HIP1R
MORF4L1
LINC00966
SEC62
CHN2
GPR85
BACH2
ZNF521
DAAM1
RALYL
MPPED2
EEF1A2
PLK2
TMEM59L
NAV1
PRR7
XPR1
NCAM1
LBH
RPL34
CDC42EP3
ASAH1
CMPK2
RERE
GALP
CNN2
SOX11
CIRBP
GABRG2
NELL1
AKAP6
APP
AES
CALM3
AP1S2
DCX
GABRB3
CES4A
TSPAN7
RAMP1
RUFY3
CAMKV
KIF5C
NDFIP1
RARB
TUBA1C
MAP4
GABRB2
SCN3B
SEPT6
VSTM2A
NETO2
LRTM1
ESRRG
DACT1
DLG2
AAK1
SV2A
NDUFA5
CLCN4
NFASC
PCDH9
TNRC6C
STXBP1
RUNDC3B
LRRC16A
CDC42
SYT6
NOS1AP
NRGN
DRAXIN
SRGAP3
TTLL7
MAP7D2
TTC9B
CHD3
CDKN2D
RGMB
SEMA3C
RTN4
SNAP25
FRY
SPTAN1
